   4.8774535e-01   4.4155601e-01   4.1259509e-01   3.9287757e-01   3.6839776e-01   3.2516737e-01   2.9594429e-01   2.8627253e-01   2.8243427e-01   2.8169373e-01   2.8344851e-01
   4.8774535e-01   4.5289904e-01   4.2670600e-01   4.0375238e-01   3.8089932e-01   3.4686337e-01   2.9784071e-01   2.6416959e-01   2.6028526e-01   2.5698205e-01   2.5253394e-01
   4.8774535e-01   4.5800125e-01   4.4628690e-01   4.1513967e-01   3.9161957e-01   3.3873090e-01   2.8376903e-01   2.5283658e-01   2.4162164e-01   2.3886191e-01   2.4235531e-01
   4.8774535e-01   4.5732551e-01   4.4769329e-01   4.2315133e-01   3.9988692e-01   3.3876756e-01   2.9178135e-01   2.3932995e-01   2.3006828e-01   2.2584890e-01   2.3465231e-01
   4.8774535e-01   4.6505332e-01   4.5533735e-01   4.3646802e-01   4.0539515e-01   3.5029436e-01   3.0137407e-01   2.3886459e-01   2.2689893e-01   2.2596502e-01   2.2386510e-01
   4.8774535e-01   4.6876222e-01   4.6018219e-01   4.3997789e-01   4.1011005e-01   3.5751214e-01   2.9167581e-01   2.2245739e-01   2.1891178e-01   2.1510453e-01   2.1493066e-01
   4.8774535e-01   4.6933231e-01   4.6241684e-01   4.4249176e-01   4.1333370e-01   3.4516885e-01   2.7745797e-01   2.2120482e-01   2.1618979e-01   2.1205886e-01   2.0905626e-01
   4.8774535e-01   4.6911296e-01   4.6112291e-01   4.4798750e-01   4.1433333e-01   3.5101430e-01   2.9768511e-01   2.1386515e-01   2.1191589e-01   2.0677329e-01   2.1258916e-01
   4.8774535e-01   4.7171722e-01   4.6823399e-01   4.4849227e-01   4.1639763e-01   3.5470372e-01   2.8320600e-01   2.1587255e-01   2.0814539e-01   2.0202218e-01   2.0812647e-01
   4.8774535e-01   4.7349506e-01   4.7072485e-01   4.4591978e-01   4.1772680e-01   3.5596405e-01   2.6995013e-01   2.1217958e-01   2.0404329e-01   2.0363651e-01   2.0218613e-01
